,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
32,2017-02-02,False,Voters,45.88868,50.53785,41.23951,44.48,49.12917,39.83083
33,2017-02-03,False,Adults,42.87061,47.47776,38.26346,48.63497,53.24212,44.02782
34,2017-02-03,False,All polls,44.21341,48.61607,39.81074,47.06427,51.46694,42.66161
35,2017-02-03,False,Voters,46.21463,50.90343,41.52583,44.72782,49.41662,40.03902
36,2017-02-04,False,Adults,42.93061,47.52776,38.33346,48.55542,53.15257,43.95826
37,2017-02-04,False,All polls,44.23746,48.63475,39.84016,47.03533,51.43262,42.63803
38,2017-02-04,False,Voters,46.21463,50.90343,41.52583,44.72782,49.41662,40.03902
39,2017-02-05,False,Adults,42.7303,47.35865,38.10196,49.04629,53.67463,44.41794
40,2017-02-05,False,All polls,44.43742,48.81641,40.05843,47.4848,51.86378,43.10581
41,2017-02-05,False,Voters,46.77325,51.44566,42.10085,45.41658,50.08898,40.74417
42,2017-02-06,False,Adults,42.62589,47.259,37.99279,49.48686,54.11996,44.85376
43,2017-02-06,False,All polls,44.42256,48.81194,40.03319,48.03367,52.42305,43.6443
44,2017-02-06,False,Voters,46.66296,51.29055,42.03538,45.71693,50.34452,41.08935
45,2017-02-07,False,Adults,42.58524,47.25029,37.92019,49.79887,54.46392,45.13382
46,2017-02-07,False,All polls,44.65995,49.03472,40.28518,48.71205,53.08682,44.33728
47,2017-02-07,False,Voters,46.92523,51.52148,42.32898,47.53691,52.13317,42.94066
48,2017-02-08,False,Adults,42.46727,47.10171,37.83284,49.95639,54.59083,45.32195
49,2017-02-08,False,All polls,44.50491,48.843,40.16682,48.8634,53.20149,44.52531
50,2017-02-08,False,Voters,46.69795,51.23309,42.16281,47.94511,52.48025,43.40998
51,2017-02-09,False,Adults,42.45341,47.12389,37.78294,50.05256,54.72303,45.38208
52,2017-02-09,False,All polls,44.34582,48.72214,39.96951,49.3256,53.70191,44.94928
53,2017-02-09,False,Voters,46.23419,50.80249,41.66589,48.68385,53.25216,44.11555
54,2017-02-10,False,Adults,42.33272,47.04307,37.62237,50.14452,54.85487,45.43417
55,2017-02-10,False,All polls,44.28156,48.64907,39.91405,49.35836,53.72587,44.99086
56,2017-02-10,False,Voters,46.21808,50.77919,41.65697,48.71865,53.27976,44.15754
57,2017-02-11,False,Adults,42.17884,46.93204,37.42564,50.29835,55.05155,45.54515
58,2017-02-11,False,All polls,44.42348,48.84508,40.00189,49.29364,53.71523,44.87204
59,2017-02-11,False,Voters,46.31055,50.92749,41.69361,48.61903,53.23597,44.00209
60,2017-02-12,False,Adults,41.98624,46.78743,37.18506,50.62114,55.42233,45.81996
61,2017-02-12,False,All polls,44.30565,48.72142,39.88988,49.4447,53.86047,45.02893
62,2017-02-12,False,Voters,46.31055,50.92749,41.69361,48.61903,53.23597,44.00209
63,2017-02-13,False,Adults,41.11952,45.75837,36.48067,52.40815,57.20925,47.60704
64,2017-02-13,False,All polls,43.46242,47.85374,39.07109,50.64742,55.09876,46.19608
65,2017-02-13,False,Voters,45.41359,49.90409,40.92309,49.86423,54.35473,45.37373
66,2017-02-14,False,Adults,41.01787,45.69108,36.34466,52.47426,57.35436,47.59416
67,2017-02-14,False,All polls,44.47177,49.01568,39.92786,50.36843,55.0418,45.69505
68,2017-02-14,False,Voters,46.16746,50.76975,41.56517,49.73203,54.36329,45.10077
69,2017-02-15,False,Adults,41.3626,45.92407,36.80114,52.01312,57.00552,47.02072
70,2017-02-15,False,All polls,44.49281,49.07682,39.90881,50.23329,54.94403,45.52256
71,2017-02-15,False,Voters,46.32353,50.96176,41.6853,49.7077,54.38807,45.02732
72,2017-02-16,False,Adults,41.26061,45.85092,36.6703,52.20712,57.25517,47.15907
73,2017-02-16,False,All polls,44.57693,49.23923,39.91463,50.21927,54.96953,45.46901
74,2017-02-16,False,Voters,46.53775,51.25437,41.82114,49.53732,54.24575,44.82889
75,2017-02-17,False,Adults,40.93276,45.58841,36.27711,52.55815,57.6859,47.4304
76,2017-02-17,False,All polls,44.46416,49.21023,39.7181,50.34889,55.15873,45.53905
77,2017-02-17,False,Voters,46.66242,51.43516,41.88968,49.45398,54.19453,44.71342
78,2017-02-18,False,Adults,41.14259,45.75518,36.52999,52.61021,57.82709,47.39334
79,2017-02-18,False,All polls,44.31153,49.03962,39.58345,50.62162,55.49161,45.75164
80,2017-02-18,False,Voters,46.48179,51.23529,41.72828,49.83215,54.65438,45.00993
81,2017-02-19,False,Adults,41.1262,45.72119,36.53122,52.34517,57.59246,47.09787
82,2017-02-19,False,All polls,44.10547,48.89841,39.31253,50.62915,55.54121,45.7171
83,2017-02-19,False,Voters,46.48179,51.23529,41.72828,49.83215,54.65438,45.00993
84,2017-02-20,False,Adults,41.1068,45.60037,36.61324,52.24264,57.46707,47.01821
85,2017-02-20,False,All polls,43.83627,48.59529,39.07725,50.03596,54.89173,45.18018
86,2017-02-20,False,Voters,45.56286,50.41407,40.71165,49.19039,53.98789,44.39288
87,2017-02-21,False,Adults,41.4049,45.76923,37.04057,51.92768,57.05551,46.79984
88,2017-02-21,False,All polls,43.66503,48.39862,38.93143,50.16118,54.99011,45.33226
89,2017-02-21,False,Voters,45.53262,50.36337,40.70187,49.28985,54.07336,44.50635
90,2017-02-22,False,Adults,40.99014,45.27751,36.70276,51.52739,56.48182,46.57297
91,2017-02-22,False,All polls,42.54541,47.43392,37.6569,50.79599,55.63756,45.95441
92,2017-02-22,False,Voters,44.294,49.44938,39.13863,50.37005,55.35322,45.38689
93,2017-02-23,False,Adults,42.08851,46.23182,37.94521,50.09972,54.93006,45.26939
94,2017-02-23,False,All polls,43.00062,47.7711,38.23013,49.79304,54.51702,45.06906
95,2017-02-23,False,Voters,44.84227,49.9486,39.73595,49.52387,54.37848,44.66925
96,2017-02-24,False,Adults,42.13914,46.28004,37.99824,50.20037,55.015,45.38575
97,2017-02-24,False,All polls,43.10133,47.88879,38.31387,49.82072,54.53353,45.10792
98,2017-02-24,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
99,2017-02-25,False,Adults,41.93456,46.09764,37.77147,50.34444,55.17621,45.51268
100,2017-02-25,False,All polls,42.99247,47.80976,38.17517,49.87163,54.60665,45.1366
101,2017-02-25,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
102,2017-02-26,False,Adults,41.86868,46.0538,37.68355,50.54937,55.40913,45.68962
103,2017-02-26,False,All polls,42.94234,47.78183,38.10285,49.97172,54.73501,45.20843
104,2017-02-26,False,Voters,44.86759,49.97301,39.76218,49.60043,54.46981,44.73105
105,2017-02-27,False,Adults,41.93449,46.13142,37.73755,50.65856,55.54948,45.76763
106,2017-02-27,False,All polls,42.97042,47.81451,38.12633,50.10254,54.87105,45.33402
107,2017-02-27,False,Voters,44.77391,49.93987,39.60795,49.68867,54.59674,44.78059
108,2017-02-28,False,Adults,41.92185,46.14059,37.7031,50.75521,55.67918,45.83124
109,2017-02-28,False,All polls,42.93886,47.79404,38.08368,50.21992,55.00761,45.43224
110,2017-02-28,False,Voters,44.69143,49.87772,39.50513,49.79915,54.73494,44.86337
111,2017-03-01,False,Adults,42.93229,47.20044,38.66414,50.10905,54.72215,45.49596
112,2017-03-01,False,All polls,43.75505,48.47799,39.03212,49.75748,54.34694,45.16802
113,2017-03-01,False,Voters,45.15903,50.19463,40.12343,49.53156,54.37161,44.69152
114,2017-03-02,False,Adults,42.74433,46.98483,38.50384,50.39036,54.90135,45.87937
115,2017-03-02,False,All polls,43.71027,48.49278,38.92776,49.87239,54.40887,45.33591
116,2017-03-02,False,Voters,45.23322,50.25408,40.21236,49.77825,54.56505,44.99146
117,2017-03-03,False,Adults,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874
118,2017-03-03,False,All polls,43.90226,48.6751,39.12943,49.85654,54.37281,45.34027
119,2017-03-03,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
120,2017-03-04,False,Adults,42.9674,47.17238,38.76241,50.43211,54.88548,45.97874
121,2017-03-04,False,All polls,43.90226,48.6751,39.12943,49.85654,54.37281,45.34027
122,2017-03-04,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
123,2017-03-05,False,Adults,43.00411,47.25905,38.74918,50.26909,54.7504,45.78778
124,2017-03-05,False,All polls,43.93693,48.76372,39.11013,49.72623,54.27249,45.17998
125,2017-03-05,False,Voters,45.63852,50.65363,40.62341,49.62764,54.40191,44.85337
126,2017-03-06,False,Adults,43.51528,47.50908,39.52149,49.41735,53.87724,44.95747
127,2017-03-06,False,All polls,44.08371,48.69637,39.47105,49.29635,53.78793,44.80477
128,2017-03-06,False,Voters,45.36596,50.36006,40.37185,48.83812,53.65353,44.02271
129,2017-03-07,False,Adults,43.68052,47.77182,39.58922,49.24304,53.76972,44.71636
130,2017-03-07,False,All polls,44.3455,48.87922,39.81178,48.89124,53.46196,44.32052
131,2017-03-07,False,Voters,45.46577,50.29033,40.64122,48.28428,53.04988,43.51868
132,2017-03-08,False,Adults,43.52806,47.62445,39.43167,49.65459,54.15749,45.15169
133,2017-03-08,False,All polls,44.33974,48.90763,39.77184,49.15517,53.72889,44.58145
134,2017-03-08,False,Voters,45.37472,50.1804,40.56905,48.55411,53.31239,43.79584
135,2017-03-09,False,Adults,43.41724,47.52428,39.3102,49.70358,54.20479,45.20238
136,2017-03-09,False,All polls,44.25294,48.83014,39.67575,49.22272,53.79013,44.65532
137,2017-03-09,False,Voters,45.35116,50.14901,40.55331,48.61091,53.3605,43.86132
138,2017-03-10,False,Adults,43.9422,48.24376,39.64064,49.21457,53.79547,44.63366
139,2017-03-10,False,All polls,44.51029,49.12762,39.89296,49.00035,53.60986,44.39085
140,2017-03-10,False,Voters,45.5193,50.33577,40.70283,48.62363,53.38221,43.86504
141,2017-03-11,False,Adults,44.2165,48.54074,39.89226,48.96644,53.50496,44.42792
142,2017-03-11,False,All polls,44.6835,49.29448,40.07253,48.83847,53.42355,44.2534
143,2017-03-11,False,Voters,45.73587,50.55025,40.92148,48.4897,53.1647,43.8147
144,2017-03-12,False,Adults,44.32833,48.67724,39.97943,48.88358,53.44093,44.32623
145,2017-03-12,False,All polls,44.76669,49.39057,40.14281,48.7696,53.37308,44.16611
146,2017-03-12,False,Voters,45.73587,50.55025,40.92148,48.4897,53.1647,43.8147
147,2017-03-13,False,Adults,44.10419,48.49052,39.71787,48.99449,53.57737,44.41162
148,2017-03-13,False,All polls,44.53927,49.17732,39.90122,48.95186,53.59417,44.30956
149,2017-03-13,False,Voters,45.58329,50.42994,40.73663,48.65232,53.42555,43.87909
150,2017-03-14,False,Adults,43.82244,48.24846,39.39643,49.54628,54.1033,44.98926
151,2017-03-14,False,All polls,44.29615,48.92532,39.66698,49.32653,53.95638,44.69668
152,2017-03-14,False,Voters,45.47269,50.2247,40.72068,49.06578,53.79823,44.33332
153,2017-03-15,False,Adults,43.43536,47.89869,38.97202,49.8028,54.29678,45.30881
154,2017-03-15,False,All polls,43.732,48.34158,39.12242,49.82358,54.37471,45.27245
155,2017-03-15,False,Voters,44.59151,49.29085,39.89216,49.70044,54.3433,45.05758
156,2017-03-16,False,Adults,43.24698,47.57337,38.92059,51.14386,56.14853,46.13919
157,2017-03-16,False,All polls,43.59192,48.14231,39.04153,50.67634,55.53901,45.81367
158,2017-03-16,False,Voters,44.63105,49.32425,39.93784,49.73156,54.35492,45.1082
159,2017-03-17,False,Adults,42.80822,46.93233,38.6841,51.36173,56.22272,46.50073
160,2017-03-17,False,All polls,43.36182,47.80959,38.91404,50.8023,55.57342,46.03117
161,2017-03-17,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
162,2017-03-18,False,Adults,41.87791,46.41851,37.33731,52.33651,57.45996,47.21305
163,2017-03-18,False,All polls,42.70947,47.44154,37.97739,51.48524,56.47866,46.49182
164,2017-03-18,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
165,2017-03-19,False,Adults,41.53395,46.20824,36.85967,52.66131,57.92685,47.39578
166,2017-03-19,False,All polls,42.48279,47.31588,37.6497,51.70201,56.81096,46.59307
167,2017-03-19,False,Voters,44.47798,49.07936,39.8766,50.08054,54.69834,45.46274
168,2017-03-20,False,Adults,41.57674,46.22869,36.9248,52.50675,57.73434,47.27915
169,2017-03-20,False,All polls,42.56183,47.41304,37.71062,51.57077,56.63733,46.5042
170,2017-03-20,False,Voters,44.52505,49.19572,39.85439,50.08957,54.74471,45.43443
171,2017-03-21,False,Adults,41.38521,45.94193,36.8285,52.85176,58.01113,47.6924
172,2017-03-21,False,All polls,42.41769,47.27553,37.55984,51.82015,56.87549,46.7648
173,2017-03-21,False,Voters,44.61454,49.35433,39.87475,50.02016,54.68645,45.35387
174,2017-03-22,False,Adults,41.60312,46.0286,37.17764,51.97084,57.16357,46.77811
175,2017-03-22,False,All polls,42.34076,47.29531,37.38622,51.67672,56.76546,46.58797
176,2017-03-22,False,Voters,44.10851,49.28387,38.93314,50.6463,55.57218,45.72042
177,2017-03-23,False,Adults,41.48011,45.96347,36.99674,52.1105,57.37497,46.84602
178,2017-03-23,False,All polls,42.28773,47.29216,37.28331,51.76073,56.88629,46.63516
179,2017-03-23,False,Voters,44.11869,49.32698,38.9104,50.66172,55.60133,45.72211
180,2017-03-24,False,Adults,41.54422,46.26891,36.81953,52.38712,58.03065,46.74358
181,2017-03-24,False,All polls,42.15625,47.20598,37.10653,52.08948,57.51303,46.66592
182,2017-03-24,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
183,2017-03-25,False,Adults,41.53386,46.28392,36.78381,52.38558,58.0583,46.71286
184,2017-03-25,False,All polls,42.14841,47.22449,37.07233,52.09206,57.54439,46.63973
185,2017-03-25,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
186,2017-03-26,False,Adults,41.43587,46.2299,36.64183,52.38198,58.08395,46.68002
187,2017-03-26,False,All polls,42.08798,47.20525,36.97071,52.08815,57.57109,46.60522
188,2017-03-26,False,Voters,44.35612,49.65315,39.05909,50.58176,55.89857,45.26495
189,2017-03-27,False,Adults,41.03792,46.03124,36.0446,52.65294,58.45473,46.85114
190,2017-03-27,False,All polls,41.81089,47.05198,36.56979,52.25573,57.78765,46.7238
191,2017-03-27,False,Voters,44.28436,49.65789,38.91082,50.60625,55.98377,45.22873
192,2017-03-28,False,Adults,40.6702,45.40951,35.93089,52.81675,58.3959,47.2376
193,2017-03-28,False,All polls,41.55795,46.62505,36.49085,52.38742,57.79079,46.98404
194,2017-03-28,False,Voters,43.37658,48.56889,38.18426,51.31355,56.60413,46.02298
195,2017-03-29,False,Adults,40.54865,45.12926,35.96804,52.65205,58.12233,47.18176
196,2017-03-29,False,All polls,41.20364,46.0816,36.32568,52.53189,57.80197,47.26182
197,2017-03-29,False,Voters,43.23234,48.12896,38.33572,51.65588,56.73108,46.58068
198,2017-03-30,False,Adults,40.11081,44.79861,35.42301,54.028,59.98937,48.06663
199,2017-03-30,False,All polls,40.63618,45.51982,35.75254,53.55639,59.13385,47.97892
200,2017-03-30,False,Voters,42.78091,47.72739,37.83444,51.80407,56.74441,46.86372
201,2017-03-31,False,Adults,40.448,45.17403,35.72196,53.2771,59.34482,47.20937
202,2017-03-31,False,All polls,40.48179,45.32975,35.63383,53.06938,58.63694,47.50181
203,2017-03-31,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
204,2017-04-01,False,Adults,40.55445,45.26672,35.84218,53.32457,59.41961,47.22953
205,2017-04-01,False,All polls,40.54905,45.38779,35.7103,53.0927,58.68511,47.50028
206,2017-04-01,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
207,2017-04-02,False,Adults,40.39359,45.16575,35.62142,53.45893,59.59847,47.31939
208,2017-04-02,False,All polls,40.44848,45.32938,35.56758,53.17198,58.80313,47.54082
209,2017-04-02,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
210,2017-04-03,False,Adults,39.61414,44.69081,34.53746,53.89282,59.91079,47.87486
211,2017-04-03,False,All polls,39.84783,44.92455,34.77111,53.59146,59.18995,47.99298
212,2017-04-03,False,Voters,41.49263,46.54613,36.43912,52.28128,57.25156,47.311
213,2017-04-04,False,Adults,40.50948,45.69217,35.32678,53.39999,59.1553,47.64467
214,2017-04-04,False,All polls,40.01525,45.26242,34.76808,53.67127,59.05883,48.2837
215,2017-04-04,False,Voters,41.28366,46.88392,35.6834,52.73132,57.75137,47.71127
216,2017-04-05,False,Adults,40.98213,45.88659,36.07767,52.87018,58.4521,47.28827
217,2017-04-05,False,All polls,40.66016,45.7916,35.52871,53.16607,58.42831,47.90383
218,2017-04-05,False,Voters,41.72259,47.24487,36.20031,52.42102,57.31507,47.52696
219,2017-04-06,False,Adults,40.51774,45.51066,35.52483,53.72948,59.73963,47.71933
220,2017-04-06,False,All polls,40.41075,45.60198,35.21951,53.69882,59.2783,48.11934
221,2017-04-06,False,Voters,41.74047,47.29905,36.1819,52.44887,57.36218,47.53556
222,2017-04-07,False,Adults,40.42915,45.2564,35.60189,54.0258,59.83382,48.21779
223,2017-04-07,False,All polls,40.38835,45.4526,35.32409,53.89001,59.34081,48.43921
224,2017-04-07,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
225,2017-04-08,False,Adults,40.44548,45.27812,35.61284,53.98016,59.79935,48.16096
226,2017-04-08,False,All polls,40.40128,45.47359,35.32896,53.86125,59.32256,48.39995
227,2017-04-08,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
228,2017-04-09,False,Adults,40.46673,45.30285,35.63061,53.93581,59.76171,48.10991
229,2017-04-09,False,All polls,40.41701,45.49614,35.33789,53.82942,59.29893,48.35992
230,2017-04-09,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
231,2017-04-10,False,Adults,41.15395,45.86559,36.44231,52.99094,58.75322,47.22866
232,2017-04-10,False,All polls,40.87731,45.83553,35.91909,53.21894,58.66856,47.76932
233,2017-04-10,False,Voters,41.39298,46.71243,36.07354,52.95179,57.82961,48.07397
234,2017-04-11,False,Adults,41.84169,46.86845,36.81492,52.17405,58.11969,46.22842
235,2017-04-11,False,All polls,41.51326,46.72686,36.29965,52.52065,58.12492,46.91638
236,2017-04-11,False,Voters,42.56668,48.27353,36.85984,51.78368,56.98209,46.58527
237,2017-04-12,False,Adults,41.62653,46.5685,36.68455,52.25298,58.06441,46.44155
238,2017-04-12,False,All polls,41.64417,46.87432,36.41402,52.36113,57.88984,46.83242
239,2017-04-12,False,Voters,42.83318,48.376,37.29036,51.76783,56.88817,46.64748
240,2017-04-13,False,Adults,41.22889,46.25507,36.20272,52.85146,58.95934,46.74358
241,2017-04-13,False,All polls,41.44421,46.76628,36.12213,52.70598,58.45796,46.95399
242,2017-04-13,False,Voters,42.90318,48.45972,37.34663,51.71242,56.7949,46.62994
243,2017-04-14,False,Adults,41.0928,46.019,36.16659,52.42646,58.40254,46.45038
244,2017-04-14,False,All polls,41.27088,46.42637,36.11538,51.87616,57.45,46.30231
245,2017-04-14,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
246,2017-04-15,False,Adults,41.01736,45.97337,36.06135,52.42741,58.41444,46.44038
247,2017-04-15,False,All polls,41.23275,46.41501,36.0505,51.88008,57.46936,46.2908
248,2017-04-15,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
249,2017-04-16,False,Adults,41.17042,46.12373,36.21711,52.25262,58.22296,46.28227
250,2017-04-16,False,All polls,41.34031,46.52293,36.1577,51.77214,57.3511,46.19318
251,2017-04-16,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
252,2017-04-17,False,Adults,41.29482,46.21842,36.37123,52.09627,57.79642,46.39611
253,2017-04-17,False,All polls,41.62966,46.85859,36.40073,51.48813,56.89203,46.08422
254,2017-04-17,False,Voters,43.4188,48.84432,37.99329,50.35167,55.01369,45.68964
255,2017-04-18,False,Adults,41.32755,46.28143,36.37368,51.95232,57.66853,46.23611
256,2017-04-18,False,All polls,41.70159,46.99654,36.40664,51.38246,56.7924,45.97252
257,2017-04-18,False,Voters,43.50145,48.9874,38.01551,50.31609,54.99622,45.63595
258,2017-04-19,False,Adults,41.10365,45.66794,36.53936,52.49113,57.87409,47.10818
259,2017-04-19,False,All polls,41.92009,47.03592,36.80427,51.80953,56.86413,46.75493
260,2017-04-19,False,Voters,44.00313,49.2343,38.77197,50.52559,54.88184,46.16934
261,2017-04-20,False,Adults,40.81158,45.62248,36.00069,52.93252,58.88656,46.97849
262,2017-04-20,False,All polls,42.02447,47.19346,36.85548,52.04146,57.51389,46.56903
263,2017-04-20,False,Voters,44.05973,49.1797,38.93976,50.58625,55.20732,45.96517
264,2017-04-21,False,Adults,40.72075,45.46203,35.97947,53.3662,59.12423,47.60818
265,2017-04-21,False,All polls,41.89439,47.02298,36.7658,52.33761,57.71827,46.95695
266,2017-04-21,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
267,2017-04-22,False,Adults,40.71088,45.44498,35.97677,53.36101,59.11146,47.61056
268,2017-04-22,False,All polls,41.88213,47.01614,36.74812,52.33886,57.71994,46.95778
269,2017-04-22,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
270,2017-04-23,False,Adults,40.62176,45.03156,36.21197,53.92823,59.21482,48.64163
271,2017-04-23,False,All polls,41.63386,46.54868,36.71904,52.87494,57.99485,47.75502
272,2017-04-23,False,Voters,44.04811,49.1926,38.90363,50.56432,55.18794,45.9407
273,2017-04-24,False,Adults,40.60334,45.012,36.19468,53.91079,59.18217,48.6394
274,2017-04-24,False,All polls,41.76186,46.79366,36.73006,52.74255,57.86912,47.61599
275,2017-04-24,False,Voters,44.23955,49.54624,38.93287,50.40123,55.07882,45.72365
276,2017-04-25,False,Adults,40.30374,44.60197,36.00551,54.23236,59.40096,49.06376
277,2017-04-25,False,All polls,41.42433,46.19313,36.65553,52.85545,57.87822,47.83269
278,2017-04-25,False,Voters,43.502,48.45667,38.54732,50.69404,55.25338,46.13471
279,2017-04-26,False,Adults,40.71889,44.81233,36.62546,53.70636,58.5398,48.87291
280,2017-04-26,False,All polls,41.98724,46.71743,37.25704,52.19347,57.10226,47.28468
281,2017-04-26,False,Voters,44.06063,48.8275,39.29377,50.11729,54.70171,45.53288
282,2017-04-27,False,Adults,41.19462,45.27081,37.11842,53.62363,58.3029,48.94435
283,2017-04-27,False,All polls,42.1408,46.77888,37.50272,52.32465,57.1571,47.4922
284,2017-04-27,False,Voters,43.94151,48.69866,39.18437,50.25742,54.9077,45.60715
285,2017-04-28,False,Adults,40.96248,45.51542,36.40953,54.07797,59.50538,48.65056
286,2017-04-28,False,All polls,41.9548,46.88246,37.02715,52.67693,58.03936,47.31449
287,2017-04-28,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
288,2017-04-29,False,Adults,41.04478,45.61719,36.47237,53.89684,59.35752,48.43616
289,2017-04-29,False,All polls,41.99678,46.93359,37.05997,52.56797,57.95444,47.1815
290,2017-04-29,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
291,2017-04-30,False,Adults,41.0427,45.62574,36.45967,53.92722,59.38926,48.46518
292,2017-04-30,False,All polls,41.98776,46.93704,37.03849,52.59581,57.99697,47.19464
293,2017-04-30,False,Voters,44.18594,48.92052,39.45135,50.13792,54.68615,45.58969
294,2017-05-01,False,Adults,40.90617,45.40572,36.40663,54.12692,59.50862,48.74522
295,2017-05-01,False,All polls,41.87309,46.76357,36.98261,52.76786,58.10855,47.42718
296,2017-05-01,False,Voters,44.12144,48.82506,39.41782,50.34044,54.91676,45.76411
297,2017-05-02,False,Adults,41.01395,45.53724,36.49067,54.02813,59.42989,48.62637
298,2017-05-02,False,All polls,41.99481,46.92556,37.06407,52.65896,58.00486,47.31306
299,2017-05-02,False,Voters,44.19493,48.93872,39.45113,50.27415,54.85132,45.69698
300,2017-05-03,False,Adults,41.48521,45.87061,37.0998,53.02538,58.46288,47.58789
301,2017-05-03,False,All polls,42.38294,47.22184,37.54404,51.87002,57.22107,46.51897
302,2017-05-03,False,Voters,44.34391,48.90283,39.78498,49.80513,54.46153,45.14873
303,2017-05-04,False,Adults,41.48521,45.87061,37.0998,53.02538,58.46288,47.58789
304,2017-05-04,False,All polls,42.42966,47.21623,37.64309,51.85018,57.14867,46.55169
305,2017-05-04,False,Voters,44.23395,48.69094,39.77697,49.99863,54.58596,45.4113
306,2017-05-05,False,Adults,41.49231,45.89816,37.08645,52.98911,58.44722,47.531
307,2017-05-05,False,All polls,42.33636,47.07829,37.59442,51.93982,57.23312,46.64652
308,2017-05-05,False,Voters,44.06768,48.48866,39.64671,50.19212,54.87309,45.51114
